Type,Full Name,Nickname,AgeMonth,Breed
Dog,Widget,Widget,60,Mini Dachshund
Dog,Stella Bo Bella,Stella,78,Mutt
Cat,Meryl Streep,Merrill,96,Unknown
Dog,Tilly,Tills,156,Chocolate Labrador
Cat,Pumpkin,Pumpkin,144,Unknown
Dog,Peter Peter Pumpkin Eater,Petey,60,Pitbull
Cat,Jacques,Jacques,144,Unknown
Dog,Remy,Rem,12,Unknown
Dog,Oreo,Oreo,84,Some Kind Of Mix
Dog,Ljus  ,Ljus,36,Golden Retriever
Dog,Bambi,Bambs,36,Unknown
Cat,Marie Curie,Marie,36,Unknown
Cat,Clarence,Clarence,144,Russian Blue
Dog,Layla the Tank,Layla,36,Pitbull
Cat,Amber,Ambs,120,Tortoise Shell
Dog,Benny And The Jets,Ben,12,"Mixed - Mastiff, Great Dane"
Dog,Milo,Milo,84,Bichon Frise
Dog,Mocha,Mocha,36,"Mixed - Pitbull, Terrier"
Dog,Shadow,Shadow,180,Golden Retriever
Cat,Little Bit,Skittles,120,Tabby
Dog,Luna,Luna,12,Great Pyrenees
Cat,Garrison,Garrison,108,Russian Blue
Dog,Cody,Baby Pookie,156,"Mixed - Black Lab, Cocker Spaniel "
Hamster,Hammy,Ham,12,Russian Dwarf Hamster
Cat,Zoey,Zoey,156,Cat
Dog,Oatmeal,Oatmeal,12,Golden Retriever
Dog,Ginger,Nugget,120,Chihuahua
Cat,Lucy,Lucy,48,Russian Blue
Dog,Starbuck Louise,Starbuck,48,Goldendoodle
Dog,Mocha Antoinette,Mocha,84,Mutt
Dog,Oscar,Oscar,120,Shepherd Retriever Mix
Cat,Serena,Mouse Pie,204,Domestic Long Haired
Cat,Maxine Waters,Maxine,48,Unknown
Dog,Magnolia Mae,Noli,30,"Mixed - Great Pyrenees, Lab"
Dog,George Cooper,Georgie,24,Golden Retriever
Dog,Cayenne,Cayenne,96,German Shepherd
Cat,Pip,Pip,132,Tuxedo
Dog,Olive Oil,Olive,24,Australian Shepherd
Rabbit,Iggy,Igs,36,Lop
Rabbit,Ziggy,Zigs,36,Angora
Dog,Brook,Brookie,84,Golden Retriever
Dog,Sparkie,Spark,48,Mutt
Dog,Max,Maxie,192,"Mixed - Carin Terrier,  Kerry Blue Terrier,  Keeshond"
Dog,Howard,Howie,120,American Staffordshire Terrier Mix
Cat,Samantha Bee,Sam,36,Tuxedo
Dog,Ella Fitzgerald,Ella,144,Unknown
Cat,Chanel,Teeny,78,Unknown
Betta Fish,Commander Ambrose,The Commander,2,Betta
Dog,Josephine Bakes,Josie,60,"Mixed - Pit Bull, Lab"
Dog,Lennie,Lennie,24,Treeing Tennessee Brindle
Cat,Obsidian Jazz Paws,Ojp,12,Feral
Cat,Scotty,Scotty,96,Domestic Short Hair
Cat,Macallan,Mac,96,Unknown
Dog,Cody James,Buddy,18,Golden Retriever
Dog,Jake,Jake,24,"Mixed - Golden Retriever, Husky, Shepherd, Jack Russell"
Cat,Katie,Boo,108,Tuxedo Moggy
Dog,Gail,Gail,36,Treeing Tennessee Brindle
Hamster,Bella,Bella,24,Russian Dwarf Hamster
Cat,June Bug,June Bug,60,Unknown
Dog,Lucky,Luck,36,"Mixed - Beagle, Jack Russell"
Dog,Darcy,Darcy,36,Working Cocker Spaniel
Cat,Neko,Neko,72,Domestic Short Hair
Cat,Maisy,Maisy,84,Unknown
Dog,Luke Anakin,Luke,108,Golden Retriever
Dog,Sadie,Sadie Pot Pie,120,Mixed
Dog,Hazel Nut,Hazel,36,Australian Shepherd
Cat,Mongoose,Goosey,5,Unknown
Cat,Flerf,Bab,192,Tortie
Dog,Bourbon,Bourbon,36,Mixed
Dog,Riley,Smiley Riley,156,Golden Retriever
Cat,Murphy,Murph,156,Domestic Short Hair
Dog,Mr. Nubs,Mr. Nubs,192,Corgi
Cat,Mackerel,Mack,5,Unknown
Cat,Regis,Regis ,120,Unknown
Cat,Laetynne Marah,Lae Lae,84,Siamese
Cat,Callie,Callie,180,Domestic Short Hair
Dog,Bentley,Bentley Boy,36,Australian Labradoodle
Cat,Crumb Bun,Bobo,108,Tuxedo Garbage Cat
Dog,Fenway,Fenway,72,Boston Terrier
Dog,Benelli,Name,36,Black Lab
Turtle,Lenny,Lenny,144,Unknown
Dog,Washington The Destroyer,Wash,78,Chocolate Lab
Cat,Otto,Otto,192,Unknown
Dog,Philomenos,Philo,108,Portuguese Water Dog
Dog,Stampy Wiggles,Stampy,120,Goldendoodle
Dog,Jasmine,Jaz,60,Golden Retriever
Dog,Emma,Puppy,12,Chocolate Lab
Dog,Winston,Wintin,48,Wire-haired Mutt
Dog,Torchenay Be Cool,Max,156,Beagle
Cat,Petunia Marie,Tooney,84,Domestic Shorthair Tabby
Dog,Brutus,Brutus,84,Yellow Labrador Retriever
Cat,Louis,Loulou,54,Black Cat
Cat,Lilah May,Lilah,144,Domestic Shorthair-black
Dog,Lucu,Puppy,84,"Mixed - Black Lab,  Blue Heeler"
Dog,Mosephine,Mo,12,Standard Poodle
Dog,Abegeweit,Abi ,192,Fox Terrier Mix
Dog,Kramer,Kray Kray,144,Golden Retriever
Bird,Coco Moe,Coco,180,Cockatiel
Cat,Apollo,Beeper,12,Unknown
Dog,Rusty,Wusty,60,Golden Lab
Dog,Demi,Dems,72,Mixed
Dog,Alfredog,Alfie,132,Mutt - Mostly Jack Russell
Rabbit,Professor Nibblesworth Bunnypants,Nibbles,72,Netherland Dwarf
Dog,Shorty Do-op,Shorty,180,Mutt
Dog,Penny,Penny,36,Australian Shepherd
Dog,Tuxedo,Tux,48,Schnauzer
Dog,Sally,Sally,84,Golden Retriever
Dog,Lola,Lola,72,Mixed Breed
Cat,Noodle,Noodle,48,Domestic Medium Haired
Dog,Gustav,Goober,120,German Shepherd
Hamster,Charlie,Charlie,18,Syrian
Dog,Poppy Sue Galushka Clementine,Poppy,48,Treeing Walker Coonhound
Dog,Duke,Duke,36,Australian Shepherd
Dog,Millie,Mills,84,Jack Russel Terrier
Dog,Sir Winston Of Weston,Winston ,120,Golden Retriever
Cat,Bucky,Bucks,24,Norwegian Forest Cat
Dog,Angus Ogdog Dogga Mcduff,Angus,Unknown,West Highland Terrier
Cat,Spot,Spotty Bear,48,Domestic Short Hair
Cat,Cookie,Cooks,24,Ragdoll
Dog,Lady,Doofus,72,Chocolate Labrador RetrieverMix
Dog,Maggie Peaches,Maggie,156,Bichon Poodle
Cat,Amelia,Amelita,24,Unknown
Dog,Camembert,Cami,60,Bernese Mountain Dog
Dog,Shadow,Shadow,36,Saluki
Dog,Archer,Archer,36,Golden Retriever
Dog,Robbie,Robz,18,Whippet
Cat,Noah,Noah,24,Unknown
Cat,Lovey Cat,Lovey,216,Unknown
Dog,Roxy,Roxy,96,Pitbull
Dog,Ashton Sebastian,Ash,108,"Mixed - Pit Bull, Unknown"
Dog,Maximum,Max,120,Puggle
Dog,Rosalind Pearl,Rosie,60,Border Collie Mix
Rabbit,Lena,Lena,96,Dwarf Rabbit
Hamster,Beauxbaton,Beau,30,Winter White
Dog,Chyna,Chyna,192,Little Terrier Poodle Mix
Dog,Sadie,Sadie,48,Cockapoo
Dog,Flynn,Flynn,2,Corgi
Cat,Felicity Louise,Flick,48,Domestic Short Hair
Goldfish,James Pond,James,60,Goldfish
Cat,Mars,Mars,96,Domestic Short Hair
Dog,Loki,Loki,36,Unknown
Cat,Millie,Mill,156,Domestic Short Hair
Dog,Trixie,Trix,36,"Mixed - Toy Fox Terrier ,  Yorkie"
Dog,Birdy,Birdy,48,Pomeranian Mix
Cat,Charlotte Wallace,Chuck,96,Cat
Cat,Thumper Dumper Bumble Butt,Thumper,192,Domestic Short Hair
Dog,Vince,Vincie,132,Yellow Lab
Dog,Cobert,Cob,24,Dalmatian
Betta Fish,Little Prince,Lp,24,Unknown
Dog,Jack Daniel,Jackie,36,Chocolate Lab
Dog,Crinkle,Crinkle,84,Mongrel
Dog,Maisy Lynn Marie,Mimsy,72,Beagle Mix
Dog,Beemer,Beemo,84,Aussie Doodle
Guinea Pig,Rosencrantz Wgp,Rosie,36,Unknown
Cat,Michelin,Michelin,168,Unknown
Dog,Mac,Mac,60,"Mixed - Boxer, Mastiff "
Dog,Maximillion Taxi,Max,108,Labrador RetrieverMix
Dog,Krypto,Dinky,72,Golden Retriever
Cat,Piper,Pippin,60,Cat
Dog,Bo Jangles,Bo,2.375,"Mixed - Husky, Boxer"
Cat,Slinkey,Slonk,60,Unknown
Dog,Brixton,Brixie,12,Golden Retriever
Dog,Jasper,Jasper,120,Miniature Labradoodle
Cat,Tabitha,Tabber,96,Unknown
Dog,Shadow Montgomery,Lovebug,24,Golden Retriever
Betta Fish,Vitale Male The Hot Tamale Who Has A Cooking Show With Mario Batale,Vitale,12,Betta
Cat,Ramona,Meemo,48,Unknown
Dog,Scout,Scout,168,Beagle
Cat,Cocoa,Cokes,144,Tuxedo Shorthair
Cat,Napoleon,Deviled Egg,24,Unknown
Dog,Libby,Libby,144,Golden Retriever
Dog,Jasper Tucker Oaf,Jasper,132,Black Lab
Cat,Clarissa Fluffnugget,Clary,24,Domestic Long Haired
Dog,Tazmanian Devik,Taz,108,Mutt
Dog,Iggy Pup,Iggy,12,Miniature Double Doodle
Dog,Lilly,Lilly,144,Labrador Retriever
Dog,Furrdinand,Furrdie,120,Pomeranian
Dog,Monster Mayhem,Doodle,96,Dachshund
Dog,Watson,Watson,72,Labrador Retriever
Dog,Shine,Shine,144,Hound Mix
Dog,Freeney Schnurpel,Freenster,156,Shih Tzu
Dog,Bella Jean,Bella,Unknown,"Mixed - Chihuahua, Yorkie "
Dog,Ratchet,Ratchie,60,"Mixed - Pug, Dachshund"
Dog,Clifford,Clifford,48,Clumber Spaniel
Dog,Goose,Gooby,12,Rat Terrier Mix
Cat,Cricket,Crickby,90,Domestic Long Haired
Dog,Magnus,Munchkin,84,Cairn Terrier
Cat,Baby Kitty,Baby Kitty,84,Kitty Cat
Dog,Shilohs Dixie Skye,Dixie,96,Mini Schnauzer
Dog,Bootsie,Bootstoots,204,Trrrier Mixed
Cat,Bowie,Kitty Boy,2,Tuxedo Cat
Dog,Mindy,Mindy,120,Black Lab
Dog,Spock,Spock,84,Mix
Dog,Merlin,Mer dog,144,Chesapeake Bay Retriever
Dog,Sylvia Plath,Sylvia,36,German Shorthaired Pointer
Dog,Smokey Neyland,Smo,108,Schnoodle
Dog,Rufus Tee Hilderbrec,Rufus,132,Shih Tzu
Dog,Baillie,B,84,Border Collie
Dog,Sebastian,Bash,12,Maltipoo
Cat,Mika Joe,Mika,108,Siamese
Dog,Tess,Tess,156,Border Collie Cross
Dog,Zorro,Z,96,Long Haired Chihuahua
Dog,Deacon,Deac,132,Chesapeake Bay Retriever
Cat,Sir Charles Chickenhock Chaplin The Teleporting Dot,Charlie,132,Unknown
Cat,Ally,Al,48,Cat
Rabbit,Gandalf,Gandalf,120,Lionhead
Cat,Lucas Adam Wilkins,Luke,120,Tabby
Dog,Robert Ferguson Mooney,Bobby,72,Golden Retriever
Dog,James Buchanan Barnes,Bucky,24,Unknown
Dog,Buddy Boy,Buddy,192,Cocker Spaniel
Cat,Cleo,Dump,24,Cat
Dog,Belle Watling,Belle,24,Maltese
Dog,Magladon Wagladon,Maggie,12,Old English Sheepdog
Dog,Bella,Bella,168,Unknown
Horse,Half Pint,Half Pint,72,Unknown
Cat,Leah Suji Wilkins,The Squeak Aka Squeakerfish,120,Tabby
Dog,Sophie,Sophie,132,Golden Retriever
Cat,Mitsy,Mitsy,48,Unknown
Dog,Stewart Little,Stewie,192,Pomeranian
Dog,Sadie,Sadie,2,Golden Retriever
Dog,Ashley Wilkes,Ash,132,"Mixed - Yorkshire Terrier, poodle"
Cow,Daisy The Cow,Daisy,36,Unknown
Dog,Oliver Jospeh Andrew,Oliver,Unknown,Golden Mix
Dog,Rhett,Rhetters,144,English Springer Spaniel
Cat,Emma May Wilkins,Emma,48,Tortie
Cat,Hashtag Anamara Mainecoon,Hashtag,72,Maine Coon
Betta Fish,Caroline Gravel,Gravel,24,Betta
Dog,Lily,Lil,60,Golden Retriever
Cat,Arthur Fonzarelli,Fonzie,144,Part Maine Coon
Cat,Vriska Serket,Vriska,96,Domestic Short Hair
Cat,Fabio,Fabio,36,Unknown
Dog,Cookie,Cookiemonster,96,Shih Tzu
Dog,Brutus,Brutus,120,"Mixed - Great White Pyrenees, Yellow Lab"
Dog,Ralph,Ralph,12,Golden Retriever
Dog,Kurt,Kurtis,24,Black Mouth Cur
Dog,Lyra Cristina,Lyra,2,Mixed Breed
Dog,Bailey Bear,Bay Girl,72,"Mixed - Lab, German Shepherd"
Dog,Brooklyn,Brooklyn,24,Beagle
Cat,Isabelle,Izzy,132,Tortoise Shell
Dog,Champion Craig,Champ,168,Beagle Mix
Cat,Kelly,Kelly,Unknown,Unknown
Dog,Lennox,Lenny,48,Shih Tzu
Dog,Sullivan Otis,Sulley,120,Catahoula Leopard
Cat,Oreo Vanilla Cookie,Nene,132,Unknown
Cat,Chessie,Chess,144,Siamese
Dog,Hank,Hanky Panky,12,Black Mouth Cur
Dog,Allie Nichols,Allie,60,Mutt
Dog,Lila,Lila,60,Newfoundland
Cat,Bubbles,Bubs,132,Chartreux
Dog,Liberty Louise,Libby,108,English Springer Spaniel
Cat,Sushi Charrito,Sush,24,Tuxedo Cat
Cat,Mouse,Mousepotato,36,Unknown
Cat,Kate,Katie,228,"Mixed - Tortie, Tortishell"
Dog,Jimmy,Jimmyjamsunshineman,60,Shih Tzu
Dog,Rocky,Rocko,108,Rottweiler
Dog,Sheldon Michael,Shel,84,"Mixed - Westin, Min Pin"
Dog,Jackson,Pupper,36,Australian Blue Cattle Dog
Cat,Midnight,Keek,228,American Shorthair
Dog,Maxwell Amos,Max,120,Catahoula Leopard
Cat,Angelina,Whitey,60,Unknown
Dog,Margaret Lewis,Maggie,132,Mutt
Dog,Ginger,Geeper Creeper,120,Golden Mix
Dog,Gator,Tate,96,"Mixed - Rottweiler, Irish Setter"
Dog,Badger,Badger,144,Dachshund
Dog,Beauregard,Beau,264,Golden Retriever
Dog,Buffy,Buffy And,96,"Mixed - Beagle, Jack Russell, Cow"
Dog,Duque,Duque,12,Mixes
Dog,Mika,Mika,60,Husky
Dog,Scarlett,Little Girl,96,Border Collie
Dog,Macy,Macy,132,Golden Retriever
Dog,Gromit Walker,Gromit,96,Golden Retriever
Cat,Ms. Kitty,Ms. Kitty,192,Unknown
Dog,Gracie Lou Freebush,Gracie,108,"Mixed - Black Lab, Angel"
Dog,River,River,36,Husky
Ferret,Leo,Lehoe,12,Unknown
Dog,Olaf,Olaf,48,Chihuahua
Dog,Buttons,Buttons ,24,Beagle
Dog,Stevie James,Steve,108,Maltipoo
Dog,Mila,Crusty,168,Rottweiler Mix
Dog,Murphy,Murph,60,Golden Retriever
Cat,Tiger,Tiggy,60,Unknown
Cat,Edna Lou,Breadna,60,Unknown
Cat,Princess Purdy,Purdy,132,Domestic Long Haired
Cat,Squidward,Squid,12,Domestic Short Hair
Dog,Oscar The Amazing Velcrodog,Oscar,144,Terrier Mix
Dog,Poppy,Poppy,48,Shih Tzu
Cat,Daisy Dukerson,Daisy,60,Unknown
Cat,Tigger,Tigger,204,Tabby
Cat,Bubbles,Bubby,72,Unknown
Cat,Prince Charlie,Charlie,132,Domestic Long Haired
Dog,Ellie Mae,Ellie,156,Cocker Spaniel
Dog,Snowy,Snow,132,Shih Tzu
Dog,Bruno,Bruno,48,Border Collie
Cat,Twitch,Twitch,132,Domestic Short Hair
Dog,Mona,Mona,Unknown,Bluetick Beagle
Cat,Harley Davidson,Har Mar,108,Unknown
Cat,Ted Kennedy,Teddy,12,Domestic Short Hair
Dog,Yaz,Yazzy,132,"Mixed - Golden Retriever, Border Collie"
Dog,Princess Leia Organa,Princess,Unknown,Mutt
Dog,Oakley,Oak,36,Shih Tzu
Dog,Tinkerbell,Tinky,48,Chihuahua
Cat,Bella,Bella,48,Maine Coon Mix
Cat,Fup,Fup,120,Unknown
Dog,Beckett,Beckett,108,Golden Retriever
Cat,Fudge,Fubdge,36,Ginger
Cat,Lady Luck,Lucky,132,Domestic Short Hair
Cat,Moose,Moose,48,Maine Coon Mix
Dog,Logan,Logan,120,Black Lab
Dog,Daisy Grace,Daisy,96,Mix
Cat,Leela,The Cat,120,Domestic Short Hair
Cat,Ellie,Ellie phant,108,Calico
Cat,Her Royal Highness The Princess Blaze,Blaze,108,Domestic Short Hair
Cat,Phillipe Robert Jean Luc Tugboat toot! Toot!,Phillipe,48,Manx Cat
Cat,Alexander Dappercat,Alex,108,Domestic Short Hair
Dog,Lila Betterhalf,Lila,156,Greyhound
Cat,Darling,Baby Girl,168,Manx Cat
Cat,Smokey,Mr Moke,144,British Short-hair
Cat,Jezebel,Jez,168,Himalayan
Dog,Tula Jean,Tula,12,Unknown
Cat,Edison D. Cat,Eddie,108,Domestic Short Hair
Cat,Redford,Rasa,144,Unknown
Dog,Odin,Odin,12,Mix
Dog,Annie Piker,Annie,96,Greyhound
Dog,Rusty,Rusty,48,Golden Retriever
Cat,Thomas,tom old Man,216,Domestic Short Hair
Cat,Fleckchen,Monster,84,European Shorthair
Dog,Stella Luna,Stella,48,Labrador RetrieverMix
Cat,Fay Fuller,Fay,36,Unknown
Dog,Pancho Villa,Pacho,144,Pug
Dog,Waldo,Waldo,108,Cockapoo
Cat,Luna,Kuschelmaus,96,European Shorthair
Dog,Yadier,Yadi,48,Golden Retriever
Dog,Ruby Gem,Ruby,48,Terrier Mix
Dog,Buddygus,Buddy,5,Golden Retriever
Dog,Homer,Homie,60,Springer Spaniel
Dog,Pippie,Pippie,24,"Mixed - Pit Bull,  Bassett Hound "
Dog,Parker,NaN,72,Beagle
Dog,Chipper Doodle,Chip,144,Chocolate Lab
Dog,Jack,Jack,84,Labrador Retriever
Dog,Xena Warrior Pinscher,Xena,168,Miniature Pinscher
Dog,Gabby,Gabby,24,Golden Retriever
Dog,Rosebud,Rosie,120,Beagle
Dog,Cooper,Coopee,120,"Mixed - Yorkshire Terrier, poodle"
Dog,Shakota,Shakota,144,Siberian Husky
Dog,Wilbur,Wilby,84,"Mixed - French, English Bulldog"
Dog,Finn T. Dog,Finn,12,Weimaraner
Cat,Wilma,Wilma Jean The Queen,24,Orange Tabby
Dog,Baylee,Baylee Boo,24,Unknown
Dog,Sprocket,Bark,Unknown,Mutt
Cat,Peppercorn Ale,Pepper,168,Unknown
Cat,Stanley,Stan The Handsome Man,12,Orange Tabby
Bird,Ahanu,Ahanu,156,Caique
Dog,Sophie,Sophie,156,Maltese Mix
Dog,Sasha,Chunk,12,"Mixed - Lab, Shepherd"
Bird,Perkins The Parakeer,Perkins,36,Parakeet
Dog,Kookie  Pants,Noodle,180,Jack Russell Terrier
Dog,Miss Maisy Cakes,Maisy,12,Rescue Mutt
Dog,Han Solo,Solo,36,English Cocker Spaniel
Dog,Lillith Anne,Lily,72,Alaskan Husky
Dog,Michelangelo,Mikey,132,English Cocker Spaniel
Dog,Freddie Beagle,Fred,132,Beagle
Dog,Pieper,Pooper,48,Unknown
Betta Fish,Toilet Mimosa Gillan,Togimi,12,Betta
Dog,Jacob,Jake,72,Alaskan Husky
Lizard,Drazil Marie,Drazil,48,Bearded Dragon Lizard
Dog,Titus Augustus,Tidy,108,American Foxhound
Dog,Cirrus,Cirrus,24,Poodle
Dog,Shelby,Shelby,168,Labrador Retriever
Dog,Nimbus,Nimbus,6,Poodle
Dog,Finn,Finn,12,Cavalier King Charles Spaniel
Cat,Kitten Kitten Kittycat,Kitty,168,American Longhair
Dog,Tessie Joan ,Tessie,84,American Foxhound
Dog,Ginger,Ginger,144,Golden Retriever
Dog,Sadie,Sadie,72,Golden Retriever
Dog,Flicka,Flicky,144,Labrador Retriever
Dog,Koda Kingslayer,Koda,24,Golden Retriever
Dog,Flicka,Flicky,144,Labrador Retriever
Dog,Maggie,Ms America,84,Golden Retriever
Dog,Henry ,Henry,12,Brittany
Dog,Megan,Puppy,120,Mutt
Cat,Dantes Infurno,Dante,84,Maine Coon
Cat,Gatsby,Gatsby,2,"Mixed - Stray, Black"
Cat,Tyrone,Tyrone,12,Unknown
Dog,Hopper T. Dog,Hops,72,Golden Retriever
Dog,Snickers,Snickers,120,Beagle Mix
Cat,Tommy Toe,Tommy,36,Unknown
Cat,Wheels,Wheels,192,Unknown
Dog,Venkman,Venk,60,Golden Retriever
Cat,Maisie,Maisie,2,"Mixed - Stray, Black"
Dog,Murphy,Murph,Unknown,Cocker Spaniel
Dog,Maggie,Schmieg,144,Golden Retriever
Cat,Lin Meow Miranda,Lin,36,American Shorthair
Dog,Jasmine,Jasmine,156,Golden Retriever
Dog,Hurley Pearly Sky-sky,Hurley,84,Shih Tzu
Dog,Queso,Queso,168,Golden Retriever
Dog,Breezy Anne,Breezy,60,German Shepherd
Dog,Riley,Riley,84,Golden Retriever
Fish,Fishy Fishy Fishy Iii,Fishy,2,Siamese Fighting Fish
Dog,Homer J,Homer,120,Basenji Mix
Dog,Tucker,Tucker,84,Golden Retriever
Cat,Kitty Vegas,Vegas,72,Domestic Long Haired
Dog,Abby,Abby,36,"Mixed - Pit Bull, Lab, Beagle, Chihuahua , General Mutt"
Dog,Cooper Triple Bogey,Coop,2,Golden Retriever
Dog,Shelby,Shelby,12,"Mixed - Blue Tick Coonhound , Mountain Cur"
Cat,Dr Gaius Baltar,Gusgus,120,Russian Blue
Dog,Oakley Dalton,Oaks,72,Unknown
Dog,Lucy Lou,Goose,108,Golden Retriever
Cat,April,April,168,Unknown
Cat,Vasquez,Vasquez,84,Domestic Shorthair-tortoise
Dog,Niles Crane,Niles,48,Border Collie
Dog,Little Lucky One,Lucky,156,Chihuahua
Dog,Benjamin Sebastian,Benjamin,84,Collie Basset Hound Mix.
Dog,Siris Maximus,Sirius,60,Alaskan Husky
Dog,Blaze,Blaze,60,Labrador Retriever
Dog,Brody,Brody,132,Yorkshire Terrier
Cat,Ripley,Chubby Chubs,48,Domestic Short Hair
Dog,Director Of Chaos,D.O.C.,48,Boxer
Cat,Josh Joshua Joshylin,Josh,72,Tuxedo Cat
Cat,Lisa,Lisa,Unknown,Unknown
Dog,Cody,Codes,132,Golden Retriever
Cat,Nepeta,Nepeta,24,Short Haired
Dog,Emma,Rotta,72,Mittelspitz
Cat,Leeloo Dallas Multipass,Leeloo,108,Laperm
Dog,Isabella Grace,Bella,84,Maltese
Dog,Cookie Boogie,Boogie,36,Unknown
Cat,Cataria,Tarie,24,Unknown
Dog,Salina,Salina,24,Hound Mix
Dog,Theodore James,Theo,60,Maltese
Dog,Ofelia,Ofie Lofie,180,Norwich Terrier
Dog,Hermie,Hermie,42,"Mixed - Chocolate Lab, Pit "
Gecko,Turtle,Turtle,60,Unknown
Dog,Jackson Baines Hardin,Jackson,168,"Mixed - Shepherd, Unknown"
Cat,Tali'zorah Vas Normandy,Tali,108,Laperm
Dog,Rudy,Rudy,144,Black Lab
Guinea Pig,Teddy,Teddy,36,Unknown
Dog,Chuchi,Baby Chu,108,Toy Poodle
Dog,Belle Silver,Bobo,36,Brittany
Goldfish,Fish,Swish,84,Unknown
Dog,Phoebe Buffay,Phoeb,54,Staffordshire Terrier
Dog,Precious Presley,Presley,12,Labrador RetrieverMix
Cat,Boots,Fuckoff,120,Black Cat With White Feet
